id,hotelid,hotelname,address,city,country,zipcode,propertytype,starrating,latitude,longitude,Source,url,curr
51259,184856,Orange Hotel und Apartments,Dieselstr. 4,Neu Ulm,Germany,89231,Hotels,3,48.38544932,10.00126541,2,http://www.booking.com/hotel/de/orange-und-apartments.en-gb.html,EUR
51260,1848612,Hotel Wiatraczna,Czapelska 34 A,Warsaw,Poland,29677,Hotels,3,52.24347637,21.08769241,2,http://www.booking.com/hotel/pl/wiatraczna.en-gb.html,PLN
51261,1848656,Hotel Garni,Bohlstr-8,Metzingen,Germany,72555,Hotels,3,48.5442443,9.2857284,2,http://www.booking.com/hotel/de/garni-metzingen.en-gb.html,EUR
51262,18487,Venetia Palace Hotel,Via Marghera 47/A,Rome,Italy,185,Hotels,4,41.90328318,12.50515044,2,http://www.booking.com/hotel/it/venetia-palace.en-gb.html,EUR
51263,1848766,Mobile Home Relax,Zagrebacka bb Inside Autocamp Pirovac,Pirovac,Croatia,22000,Holiday parks,3,43.82285341,15.65666556,2,http://www.booking.com/hotel/hr/mobile-home-i3-pirovac.en-gb.html,EUR
51264,1848770,Hotel Silvestri,Via Toiladel 34,Livigno,Italy,23041,Hotels,3,46.53288407,10.13153137,2,http://www.booking.com/hotel/it/silvestri-sante1-4antonio.en-gb.html,EUR
51265,18488,WestCord Fashion Hotel Amsterdam,Hendrikje Stoffelstraat 1,Amsterdam,Netherlands,,Hotels,4,52.35754924,4.84416872,2,http://www.booking.com/hotel/nl/westcord-fashion-hotel-amsterdam.en-gb.html,EUR
51266,1848881,Hotel Gino,via Defferrari 6,Noli,Italy,17026,Hotels,3,44.20690426,8.41509803,2,http://www.booking.com/hotel/it/gino.en-gb.html,EUR
51267,1848926,Amedia Suites Ruesselsheim,Karlsbader Strasse 52-53,Russelsheim,Germany,65428,Hotels,3,50.00279999,8.441640854,5,https://www.agoda.com/en-gb/amedia-suites-ruesselsheim/hotel/russelsheim-de.html,EUR
51268,1848993,Golden Sunset,Golden Sunset Hotel Skala Rachoni,Skala Rachoniou,Greece,64004,Hotels,2,40.77871857,24.60752562,2,http://www.booking.com/hotel/gr/golden-sunset-skala-rachoniou.en-gb.html,EUR
51269,184903,Hotel Basilisk,Klingentalstrasse 1,Basel,Switzerland,4005,Hotels,3,47.56325004,7.59240299,2,http://www.booking.com/hotel/ch/basilisk.en-gb.html,CHF
51270,1849046,Das Alte Rathaus,Hauptplatz 8 / Bahnhofstr.,Egna,Italy,39044,Hotels,3,46.31318719,11.27075354,2,http://www.booking.com/hotel/it/das-alte-rathaus.en-gb.html,EUR
51271,184905,Schifferkrug Hotel & Restaurant,Speicherstrasse 9,Celle,Germany,29221,Hotels,3,52.62345572,10.07042885,2,http://www.booking.com/hotel/de/schifferkrug-restaurant.en-gb.html,EUR
51272,18491,WestCord WTC Hotel Leeuwarden,heliconweg 52,Leeuwarden,Netherlands,,Hotels,4,53.20026169,5.7737124,2,http://www.booking.com/hotel/nl/westcord-leeuwarden-centre.en-gb.html,EUR
51273,1849104,Burbaums Restaurant Hotel,Kirchplatz 4,Waltrop,Germany,45731,Hotels,3,51.62348667,7.39483609,2,http://www.booking.com/hotel/de/burbaums-restaurant.en-gb.html,EUR
51274,184911,Almi's Berghotel,Aussertal 30,Obernberg am Brenner,Austria,6157,Hotels,3,47.01646188,11.4224124,2,http://www.booking.com/hotel/at/almi-s-berghotel.en-gb.html,EUR
51275,184913,Hotel du Palais des Papes,"3, Place Du Palais",Avignon,France,84000,Hotels,3,43.95034694,4.80620742,2,http://www.booking.com/hotel/fr/du-palais-des-papes-avignon.en-gb.html,EUR
51276,184914,Hotel am Schutzenberg,Schutzenberg 6,Gotha,Germany,99867,Hotels,4,50.95157875,10.69835275,2,http://www.booking.com/hotel/de/appartementhaus-am-schutzenberg.en-gb.html,EUR
51277,184915,Gut Brandlhof,Hohlwegen 4,Saalfelden am Steinernen Meer,Austria,5760,Hotels,4,47.4822873,12.8314814,2,http://www.booking.com/hotel/at/gut-brandlhof.en-gb.html,EUR
51278,184921,Hotel Restaurant Am Kellhof,Dietlishoferstr. 13,Hilzingen,Germany,78247,Hotels,3,47.76277868,8.77809882,2,http://www.booking.com/hotel/de/restaurant-am-kellhof.en-gb.html,EUR
